RedField(Td)          RedDiff((ms)^-1)      RedMob((msV)^-1)      DriftVelocity(ms^-1)  RedTow(m^2)           RedAtt(m^2)           RedDiffE(eV(ms)^-1)   RedMobE(eV(msV)^-1)   MeanE(eV)             CharE(eV)             EleTemp(eV)           
+1.00000000000000e-03 +5.43930420660341e+24 +1.36559064165060e+26 +1.36559064165060e+02 +0.00000000000000e+00 +0.00000000000000e+00 +8.22177116961145e+23 +1.65474176576648e+25 +4.56877828447552e-02 +3.98311473490245e-02 +3.04585218965035e-02 
+1.14975699539774e-03 +6.42912477734891e+24 +1.41455274218462e+26 +1.62639191068582e+02 +0.00000000000000e+00 +0.00000000000000e+00 +1.06053362821789e+24 +1.83439670140976e+25 +4.86417754510907e-02 +4.54498767392712e-02 +3.24278503007271e-02 
+1.32194114846603e-03 +7.82262631216343e+24 +1.47262947165913e+26 +1.94672949502998e+02 +0.00000000000000e+00 +0.00000000000000e+00 +1.40323863187198e+24 +2.06497228195663e+25 +5.28972482618105e-02 +5.31201260243022e-02 +3.52648321745403e-02 
+1.51991108295293e-03 +9.74684616683272e+24 +1.53848466101413e+26 +2.33835988722847e+02 +0.00000000000000e+00 +0.00000000000000e+00 +1.88686446117597e+24 +2.35365741765640e+25 +5.89486826050186e-02 +6.33535479021794e-02 +3.92991217366791e-02 
+1.74752840000768e-03 +1.23296849688180e+25 +1.60858953762869e+26 +2.81105590096137e+02 +0.00000000000000e+00 +0.00000000000000e+00 +2.55082464261896e+24 +2.70299974609865e+25 +6.73756765363382e-02 +7.66490436522041e-02 +4.49171176908921e-02 
+2.00923300256505e-03 +1.56669098068019e+25 +1.67676026312099e+26 +3.36900205805235e+02 +0.00000000000000e+00 +0.00000000000000e+00 +3.42916212681334e+24 +3.10717159332300e+25 +7.87703360999148e-02 +9.34355981077504e-02 +5.25135573999432e-02 
+2.31012970008316e-03 +1.97590210679957e+25 +1.73341955453906e+26 +4.00442399564561e+02 +0.00000000000000e+00 +0.00000000000000e+00 +4.53405013491861e+24 +3.54605299401974e+25 +9.35338627660681e-02 +1.13988682175966e-01 +6.23559085107121e-02 
+2.65608778294669e-03 +2.44657932458574e+25 +1.76763590891247e+26 +4.69499614236027e+02 +0.00000000000000e+00 +0.00000000000000e+00 +5.84150872930658e+24 +3.98551812377505e+25 +1.11698686719005e-01 +1.38409686760153e-01 +7.44657911460033e-02 
+3.05385550883342e-03 +2.94766471577278e+25 +1.76936903067650e+26 +5.40339736149068e+02 +0.00000000000000e+00 +0.00000000000000e+00 +7.28035336996135e+24 +4.38062229346468e+25 +1.32723114898711e-01 +1.66594117149534e-01 +8.84820765991408e-02 
+3.51119173421513e-03 +3.43690637496899e+25 +1.73339193267375e+26 +6.08627142615927e+02 +0.00000000000000e+00 +0.00000000000000e+00 +8.74347032729345e+24 +4.68826713031681e+25 +1.55548348955845e-01 +1.98276356903749e-01 +1.03698899303896e-01 
+4.03701725859655e-03 +3.87295622897182e+25 +1.66155370382769e+26 +6.70772097843742e+02 +0.00000000000000e+00 +0.00000000000000e+00 +1.01178118192781e+25 +4.88114066919493e+25 +1.78903189630606e-01 +2.33092449557890e-01 +1.19268793087071e-01 
+4.64158883361278e-03 +4.22602902802446e+25 +1.56151242377487e+26 +7.24789862974106e+02 +0.00000000000000e+00 +0.00000000000000e+00 +1.13144058715553e+25 +4.95365379799076e+25 +2.01656094230785e-01 +2.70636913525687e-01 +1.34437396153857e-01 
+5.33669923120631e-03 +4.48427577804210e+25 +1.44403126487237e+26 +7.70636054108225e+02 +0.00000000000000e+00 +0.00000000000000e+00 +1.22889350919928e+25 +4.92040239640620e+25 +2.23128837808885e-01 +3.10538690340506e-01 +1.48752558539257e-01 
+6.13590727341317e-03 +4.65059288357241e+25 +1.31942018008645e+26 +8.09583987968059e+02 +0.00000000000000e+00 +0.00000000000000e+00 +1.30372183543592e+25 +4.80639532670308e+25 +2.43110008234325e-01 +3.52472468873993e-01 +1.62073338822883e-01 
+7.05480231071865e-03 +4.73721139914088e+25 +1.19568677212460e+26 +8.43533380288032e+02 +0.00000000000000e+00 +0.00000000000000e+00 +1.35827855354551e+25 +4.63855549169439e+25 +2.61759207248138e-01 +3.96191670726891e-01 +1.74506138165425e-01 
+8.11130830789687e-03 +4.75959376988821e+25 +1.07798120796805e+26 +8.74383792794794e+02 +0.00000000000000e+00 +0.00000000000000e+00 +1.39611932457832e+25 +4.43989288657416e+25 +2.79432864327262e-01 +4.41528454736224e-01 +1.86288576218174e-01 
+9.32603346883220e-03 +4.73237871857540e+25 +9.69016298262241e+25 +9.03707842943754e+02 +0.00000000000000e+00 +0.00000000000000e+00 +1.42084399182107e+25 +4.22743278348857e+25 +2.96542999641179e-01 +4.88369362523839e-01 +1.97695333094120e-01 
+1.07226722201032e-02 +4.66810142050489e+25 +8.69848182468672e+25 +9.32709694186411e+02 +0.00000000000000e+00 +0.00000000000000e+00 +1.43568721013187e+25 +4.01279603643393e+25 +3.13498777863390e-01 +5.36657029880386e-01 +2.08999185242260e-01 
+1.23284673944207e-02 +4.57651836773447e+25 +7.80492167360592e+25 +9.62227223690576e+02 +0.00000000000000e+00 +0.00000000000000e+00 +1.44324485845615e+25 +3.80318445057672e+25 +3.30658780769041e-01 +5.86363138429818e-01 +2.20439187179360e-01 
+1.41747416292680e-02 +4.46531088374206e+25 +7.00426057749981e+25 +9.92835839901277e+02 +0.00000000000000e+00 +0.00000000000000e+00 +1.44560676947115e+25 +3.60279097498314e+25 +3.48335358390975e-01 +6.37513529705938e-01 +2.32223572260650e-01 
+1.62975083462064e-02 +4.34010512707728e+25 +6.28887171526915e+25 +1.02492939267821e+03 +0.00000000000000e+00 +0.00000000000000e+00 +1.44437001605036e+25 +3.41384044061261e+25 +3.66801670612853e-01 +6.90124607970562e-01 +2.44534447075235e-01 
+1.87381742286038e-02 +4.20517956477170e+25 +5.65036052429545e+25 +1.05877439958673e+03 +0.00000000000000e+00 +0.00000000000000e+00 +1.44077604714005e+25 +3.23726974510327e+25 +3.86299714817650e-01 +7.44232079827517e-01 +2.57533143211767e-01 
+2.15443469003188e-02 +4.06363878645002e+25 +5.08045703654766e+25 +1.09455128807549e+03 +0.00000000000000e+00 +0.00000000000000e+00 +1.43577474821030e+25 +3.07322172689522e+25 +4.07049191344489e-01 +7.99856933582377e-01 +2.71366127562993e-01 
+2.47707635599171e-02 +3.91811212806179e+25 +4.57151645545920e+25 +1.13239953228450e+03 +0.00000000000000e+00 +0.00000000000000e+00 +1.43019452217382e+25 +2.92142364915222e+25 +4.29262312260530e-01 +8.57070551147829e-01 +2.86174874840354e-01 
+2.84803586843580e-02 +3.77026701788166e+25 +4.11667829021821e+25 +1.17244474293524e+03 +0.00000000000000e+00 +0.00000000000000e+00 +1.42463053934661e+25 +2.78141372897049e+25 +4.53149602981691e-01 +9.15851750388253e-01 +3.02099735321127e-01 
+3.27454916287773e-02 +3.62181483884552e+25 +3.70991537416349e+25 +1.21483002828143e+03 +0.00000000000000e+00 +0.00000000000000e+00 +1.41970158815995e+25 +2.65269254119919e+25 +4.78930962304461e-01 +9.76252683300672e-01 +3.19287308202974e-01 
+3.76493580679247e-02 +3.47389940774515e+25 +3.34593678116786e+25 +1.25972371946828e+03 +0.00000000000000e+00 +0.00000000000000e+00 +1.41593068790475e+25 +2.53475815292768e+25 +5.06846253141183e-01 +1.03824418539451e+00 +3.37897502094122e-01 
+4.32876128108306e-02 +3.32748950256840e+25 +3.02003150018054e+25 +1.30729954256327e+03 +0.00000000000000e+00 +0.00000000000000e+00 +1.41382549924865e+25 +2.42703268914017e+25 +5.37159772802815e-01 +1.10180622366670e+00 +3.58106515201877e-01 
