Energy(eV)           EEDF(eV^-(3/2))      Anisotropy(eV^-(3/2))
1.22816822031106e+00 2.34012105141663e-02 8.96088077073498e-03 
3.68450466093317e+00 2.16941693514254e-02 1.27896633273321e-02 
6.14084110155528e+00 1.94458434164067e-02 1.06856389942156e-02 
8.59717754217739e+00 1.66801266505954e-02 9.15957625457624e-03 
1.10535139827995e+01 1.33960249027572e-02 8.10685770809639e-03 
1.35098504234216e+01 1.04289009413547e-02 7.22831489254954e-03 
1.59661868640437e+01 7.94298601398102e-03 6.43168516924908e-03 
1.84225233046658e+01 5.93118988655110e-03 5.54364163223531e-03 
2.08788597452880e+01 4.47854731709141e-03 4.56881255977422e-03 
2.33351961859101e+01 3.36820229770770e-03 3.69329623885762e-03 
2.57915326265322e+01 2.56120463206922e-03 2.91266145435169e-03 
2.82478690671543e+01 1.94807705985885e-03 2.28710530634216e-03 
3.07042055077764e+01 1.49281890291655e-03 1.77710370185903e-03 
3.31605419483985e+01 1.14385160205610e-03 1.38284746373437e-03 
3.56168783890206e+01 8.79259130049299e-04 1.07395613559314e-03 
3.80732148296428e+01 6.76934997694358e-04 8.37350511001579e-04 
4.05295512702649e+01 5.23956170741639e-04 6.54017410623473e-04 
4.29858877108870e+01 4.07575343881658e-04 5.14195052874862e-04 
4.54422241515091e+01 3.19363736048730e-04 4.06070230951444e-04 
4.78985605921312e+01 2.51819494784539e-04 3.22750721274587e-04 
5.03548970327533e+01 2.00155472305796e-04 2.57150291622961e-04 
5.28112334733754e+01 1.59718603064747e-04 2.05747898456061e-04 
5.52675699139975e+01 1.27806085061479e-04 1.65053607123025e-04 
5.77239063546197e+01 1.02512463662533e-04 1.32852683779111e-04 
6.01802427952418e+01 8.24914580853693e-05 1.07206251225395e-04 
6.26365792358639e+01 6.65542771031448e-05 8.68212867298452e-05 
6.50929156764860e+01 5.38617722848726e-05 7.05051087284205e-05 
6.75492521171081e+01 4.37024363728981e-05 5.74475025487271e-05 
7.00055885577302e+01 3.55650197549041e-05 4.69245266926832e-05 
7.24619249983523e+01 2.90153259441967e-05 3.84335421159881e-05 
7.49182614389744e+01 2.37384181177414e-05 3.15322178182553e-05 
7.73745978795965e+01 1.94603231323549e-05 2.59204628682696e-05 
7.98309343202187e+01 1.59791172335595e-05 2.13415243994176e-05 
8.22872707608408e+01 1.31384206017942e-05 1.76015229248235e-05 
8.47436072014629e+01 1.08199205395249e-05 1.45354206314762e-05 
8.71999436420850e+01 8.92306499658407e-06 1.20211390832323e-05 
8.96562800827071e+01 7.37094051732950e-06 9.95295463669070e-06 
9.21126165233292e+01 6.09820054263260e-06 8.25184821516612e-06 
9.45689529639513e+01 5.05430404233766e-06 6.84913374675352e-06 
9.70252894045735e+01 4.19641131012255e-06 5.69201565523823e-06 
9.94816258451956e+01 3.49126295258069e-06 4.73490091312401e-06 
1.01937962285818e+02 2.91037061254803e-06 3.94405265111441e-06 
1.04394298726440e+02 2.43090274655261e-06 3.29086920544848e-06 
1.06850635167062e+02 2.03414155745838e-06 2.75140637203540e-06 
1.09306971607684e+02 1.70542234517452e-06 2.30461566754474e-06 
1.11763308048306e+02 1.43241395910603e-06 1.93418877033213e-06 
1.14219644488928e+02 1.20539210896860e-06 1.62625791954201e-06 
1.16675980929550e+02 1.01617062552192e-06 1.36999681543642e-06 
1.19132317370172e+02 8.58254788712960e-07 1.15619594576976e-06 
1.21588653810795e+02 7.26169656786853e-07 9.77615902268353e-07 
1.24044990251417e+02 6.15546929485881e-07 8.28094180282084e-07 
1.26501326692039e+02 5.22698365001286e-07 7.02755942599515e-07 
1.28957663132661e+02 4.44665472967059e-07 5.97447663575434e-07 
1.31413999573283e+02 3.78945881030819e-07 5.08864587868550e-07 
1.33870336013905e+02 3.23522069640357e-07 4.34187306954588e-07 
1.36326672454527e+02 2.76684287501243e-07 3.71155602881144e-07 
1.38783008895149e+02 2.37048370544588e-07 3.17831908358961e-07 
1.41239345335772e+02 2.03440361678020e-07 2.72662655266316e-07 
1.43695681776394e+02 1.74904513988355e-07 2.34323879933314e-07 
1.46152018217016e+02 1.50627632590266e-07 2.01738355619131e-07 
1.48608354657638e+02 1.29946212423405e-07 1.73978241033178e-07 
1.51064691098260e+02 1.12295386437153e-07 1.50236568126706e-07 
1.53521027538882e+02 9.71344997625747e-08 1.29899288558749e-07 
1.55977363979504e+02 8.40923735199289e-08 1.12420950008169e-07 
1.58433700420126e+02 7.28658324001716e-08 9.73786979875220e-08 
1.60890036860748e+02 6.31916105759249e-08 8.44253871503436e-08 
1.63346373301371e+02 5.48497632828131e-08 7.32579370643881e-08 
1.65802709741993e+02 4.76491589625986e-08 6.36243776713205e-08 
1.68259046182615e+02 4.14296845986499e-08 5.53046136334637e-08 
1.70715382623237e+02 3.60520930197656e-08 4.81151014850102e-08 
1.73171719063859e+02 3.13994346924277e-08 4.18954139218639e-08 
1.75628055504481e+02 2.73699184627351e-08 3.65113614120318e-08 
1.78084391945103e+02 2.38778457645452e-08 3.18455571767201e-08 
1.80540728385725e+02 2.08485673476979e-08 2.77995154545156e-08 
1.82997064826347e+02 1.82190957132821e-08 2.42869993796086e-08 
1.85453401266970e+02 1.59345254529853e-08 2.12354964290990e-08 
1.87909737707592e+02 1.39484254729637e-08 1.85815836886593e-08 
1.90366074148214e+02 1.22202709479349e-08 1.62720345678341e-08 
1.92822410588836e+02 1.07156722494499e-08 1.42604127136330e-08 
1.95278747029458e+02 9.40454251795897e-09 1.25073456458309e-08 
1.97735083470080e+02 8.26131500983278e-09 1.09780086405973e-08 
2.00191419910702e+02 7.26364497235972e-09 9.64266320307284e-09 
2.02647756351324e+02 6.39181108430631e-09 8.47599683837763e-09 
2.05104092791946e+02 5.62884889917333e-09 7.45632763813886e-09 
2.07560429232569e+02 4.96074897918743e-09 6.56424541047001e-09 
2.10016765673191e+02 4.37521526932629e-09 5.78332243311907e-09 
2.12473102113813e+02 3.86172530758902e-09 5.09910149021528e-09 
2.14929438554435e+02 3.41103449905754e-09 4.49925071124808e-09 
2.17385774995057e+02 3.01521668137572e-09 3.97290793765156e-09 
2.19842111435679e+02 2.66730131531991e-09 3.51078915231854e-09 
2.22298447876301e+02 2.36130091056641e-09 3.10470944023611e-09 
2.24754784316923e+02 2.09194453182424e-09 2.74765933831739e-09 
2.27211120757545e+02 1.85469641046772e-09 2.43345350092009e-09 
2.29667457198168e+02 1.64555950225097e-09 2.15678476309974e-09 
2.32123793638790e+02 1.46108816899318e-09 1.91296551370818e-09 
2.34580130079412e+02 1.29824286988761e-09 1.69796619650366e-09 
