Energy(eV)           EEDF(eV^-(3/2))      Anisotropy(eV^-(3/2))
5.96377586604553e-02 4.37007445503445e-02 1.31781534907342e-03 
1.78913275981366e-01 4.36649540990456e-02 9.08470906824222e-03 
2.98188793302277e-01 4.36508792288766e-02 8.83450787039900e-03 
4.17464310623187e-01 4.36298761768149e-02 8.69622903653279e-03 
5.36739827944098e-01 4.35979916665849e-02 8.59880194913744e-03 
6.56015345265009e-01 4.35556417943620e-02 8.51036775437172e-03 
7.75290862585919e-01 4.35029380144924e-02 8.42680080742901e-03 
8.94566379906830e-01 4.34400613368907e-02 8.34625096130813e-03 
1.01384189722774e+00 4.33671323307784e-02 8.26800381002108e-03 
1.13311741454865e+00 4.32855728443809e-02 8.19115852583933e-03 
1.25239293186956e+00 4.31962990997885e-02 8.11577615524497e-03 
1.37166844919047e+00 4.30983880092743e-02 8.04335152194536e-03 
1.49094396651138e+00 4.29929729458964e-02 7.97360747099685e-03 
1.61021948383229e+00 4.28811718064884e-02 7.90607465402338e-03 
1.72949500115320e+00 4.27644465616027e-02 7.83991606798084e-03 
1.84877051847412e+00 4.26428642624813e-02 7.77494097597639e-03 
1.96804603579503e+00 4.25162888007600e-02 7.71063242927891e-03 
2.08732155311594e+00 4.23820872665760e-02 7.64759511122414e-03 
2.20659707043685e+00 4.22415217138219e-02 7.58519687580762e-03 
2.32587258775776e+00 4.20953724803011e-02 7.52380078516903e-03 
2.44514810507867e+00 4.19428696677441e-02 7.46432851181876e-03 
2.56442362239958e+00 4.17840106002279e-02 7.40660871237428e-03 
2.68369913972049e+00 4.16170787695696e-02 7.35063071936954e-03 
2.80297465704140e+00 4.14421796230179e-02 7.29597572680741e-03 
2.92225017436231e+00 4.12599028672061e-02 7.24237118782745e-03 
3.04152569168322e+00 4.10707834892178e-02 7.18965170352371e-03 
3.16080120900413e+00 4.08756871000525e-02 7.13758708827900e-03 
3.28007672632504e+00 4.06748379118083e-02 7.08660597512246e-03 
3.39935224364595e+00 4.04682931390488e-02 7.03768238078776e-03 
3.51862776096686e+00 4.02560747935891e-02 6.99123905837042e-03 
3.63790327828778e+00 4.00382020417903e-02 6.94699697205658e-03 
3.75717879560869e+00 3.98150594152749e-02 6.90452235554047e-03 
3.87645431292960e+00 3.95867545170730e-02 6.86348407937798e-03 
3.99572983025051e+00 3.93533211460087e-02 6.82357299949888e-03 
4.11500534757142e+00 3.91144395612033e-02 6.78454282218623e-03 
4.23428086489233e+00 3.88697470842382e-02 6.74617794749939e-03 
4.35355638221324e+00 3.86193045393983e-02 6.70825842463028e-03 
4.47283189953415e+00 3.83631781754927e-02 6.67088358935258e-03 
4.59210741685506e+00 3.81016941814260e-02 6.63447775036587e-03 
4.71138293417597e+00 3.78356103097797e-02 6.59919947629058e-03 
4.83065845149688e+00 3.75649450172168e-02 6.56489472072402e-03 
4.94993396881779e+00 3.72897256376511e-02 6.53129668489381e-03 
5.06920948613870e+00 3.70099085122141e-02 6.49799066204136e-03 
5.18848500345961e+00 3.67246469125898e-02 6.46444129559623e-03 
5.30776052078052e+00 3.64340371772953e-02 6.43020547142454e-03 
5.42703603810144e+00 3.61381867919318e-02 6.39517417555369e-03 
5.54631155542235e+00 3.58372067140454e-02 6.35933239788660e-03 
5.66558707274326e+00 3.55312109958052e-02 6.32267455527609e-03 
5.78486259006417e+00 3.52203163643729e-02 6.28520654547378e-03 
5.90413810738508e+00 3.49046415402690e-02 6.24694265247540e-03 
6.02341362470599e+00 3.45843070114016e-02 6.20790824465425e-03 
6.14268914202690e+00 3.42591057992761e-02 6.16819520941573e-03 
6.26196465934781e+00 3.39290176746950e-02 6.12788465554313e-03 
6.38124017666872e+00 3.35941644821909e-02 6.08701236185913e-03 
6.50051569398963e+00 3.32546692922681e-02 6.04559482704732e-03 
6.61979121131054e+00 3.29106559589004e-02 6.00365274624888e-03 
6.73906672863145e+00 3.25622489256348e-02 5.96121004920276e-03 
6.85834224595236e+00 3.22095728486609e-02 5.91829350303847e-03 
6.97761776327327e+00 3.18527524138992e-02 5.87491822695111e-03 
7.09689328059418e+00 3.14910777715439e-02 5.83109512575887e-03 
7.21616879791509e+00 3.11228675117634e-02 5.78685410307956e-03 
7.33544431523601e+00 3.07482951162147e-02 5.74212109542687e-03 
7.45471983255692e+00 3.03675332750513e-02 5.69694997724553e-03 
7.57399534987783e+00 2.99807529405981e-02 5.65139765211888e-03 
7.69327086719874e+00 2.95881231680871e-02 5.60551928134710e-03 
7.81254638451965e+00 2.91898107943812e-02 5.55936828551085e-03 
7.93182190184056e+00 2.87859803062857e-02 5.51299629383525e-03 
8.05109741916147e+00 2.83767935545135e-02 5.46647696112469e-03 
8.17037293648238e+00 2.79641399848275e-02 5.41976159603098e-03 
8.28964845380329e+00 2.75482784981003e-02 5.37296359418928e-03 
8.40892397112420e+00 2.71293303203454e-02 5.32613000930505e-03 
8.52819948844511e+00 2.67074138352738e-02 5.27928586499198e-03 
8.64747500576602e+00 2.62826465399595e-02 5.23244622632917e-03 
8.76675052308693e+00 2.58551444598817e-02 5.18563818117215e-03 
8.88602604040784e+00 2.54250205938934e-02 5.13889699726724e-03 
9.00530155772875e+00 2.49923848239966e-02 5.09225614483272e-03 
9.12457707504966e+00 2.45573439580238e-02 5.04574732184407e-03 
9.24385259237058e+00 2.41200016575661e-02 4.99940056068537e-03 
9.36312810969149e+00 2.36804584841543e-02 4.95324431658888e-03 
9.48240362701240e+00 2.32388118323248e-02 4.90730554911787e-03 
9.60167914433331e+00 2.27951559808642e-02 4.86160967987050e-03 
9.72095466165422e+00 2.23495820523541e-02 4.81618062876056e-03 
9.84023017897513e+00 2.19021780769606e-02 4.77104084452145e-03 
9.95950569629604e+00 2.14530289650635e-02 4.72621981230660e-03 
1.00787812136170e+01 2.10031160362383e-02 4.68173640174418e-03 
1.01980567309379e+01 2.05571615071262e-02 4.63741572954332e-03 
1.03173322482588e+01 2.01151363608312e-02 4.59346403506220e-03 
1.04366077655797e+01 1.96770101084210e-02 4.54989526764471e-03 
1.05558832829006e+01 1.92427509249772e-02 4.50672231024533e-03 
1.06751588002215e+01 1.88123257106222e-02 4.46395710043580e-03 
1.07944343175424e+01 1.83857002040343e-02 4.42159685054514e-03 
1.09137098348633e+01 1.79628416915023e-02 4.37962506621643e-03 
1.10329853521842e+01 1.75437189340671e-02 4.33804018666100e-03 
1.11522608695051e+01 1.71282993756256e-02 4.29685612687426e-03 
1.12715363868261e+01 1.67165489561443e-02 4.25608705110925e-03 
1.13908119041470e+01 1.63084322430082e-02 4.21574553663042e-03 
1.15100874214679e+01 1.59039125980437e-02 4.17553263036107e-03 
1.16293629387888e+01 1.55029039908428e-02 4.13466041002747e-03 
1.17486384561097e+01 1.51054489249297e-02 4.09248711686405e-03 
1.18679139734306e+01 1.47116972410145e-02 4.04892145305604e-03 
1.19871894907515e+01 1.43217867890604e-02 4.00409953945616e-03 
1.21064650080724e+01 1.39364757342857e-02 3.95812291383166e-03 
1.22257405253933e+01 1.35568305209754e-02 3.91107854254994e-03 
1.23450160427143e+01 1.31829167082446e-02 3.86312137888419e-03 
1.24642915600352e+01 1.28147885331394e-02 3.81435842951603e-03 
