Energy(eV)           EEDF(eV^-(3/2))      Anisotropy(eV^-(3/2))
1.42175823603759e+00 1.86164991367801e-02 7.81922815488291e-03 
4.26527470811276e+00 1.71267385658523e-02 1.67126904737646e-02 
7.10879118018794e+00 1.55105454385971e-02 1.41481200778241e-02 
9.95230765226311e+00 1.36734447738377e-02 1.21269418805112e-02 
1.27958241243383e+01 1.17306762664079e-02 1.02978709394944e-02 
1.56393405964135e+01 9.71277519226671e-03 8.54249032928307e-03 
1.84828570684886e+01 7.63040274874440e-03 6.63402233952853e-03 
2.13263735405638e+01 5.75450291087797e-03 4.83890949631502e-03 
2.41698900126390e+01 4.13360165434114e-03 3.40602847345406e-03 
2.70134064847142e+01 2.88433644537056e-03 2.32233083100812e-03 
2.98569229567893e+01 1.93088337459249e-03 1.58173166812805e-03 
3.27004394288645e+01 1.28362461061771e-03 1.05872402334447e-03 
3.55439559009397e+01 8.49193572609358e-04 7.09704304002898e-04 
3.83874723730149e+01 5.64444387035504e-04 4.73731041936370e-04 
4.12309888450900e+01 3.74034682784776e-04 3.19192278418472e-04 
4.40745053171652e+01 2.48075853817363e-04 2.16937925914524e-04 
4.69180217892404e+01 1.65681318627975e-04 1.49965086395518e-04 
4.97615382613156e+01 1.13259288674256e-04 1.04370987125080e-04 
5.26050547333907e+01 7.85419036040771e-05 7.35933595909940e-05 
5.54485712054659e+01 5.49663289748280e-05 5.23659334161305e-05 
5.82920876775411e+01 3.87564883617482e-05 3.75981580983442e-05 
6.11356041496162e+01 2.75621315523367e-05 2.71544139080937e-05 
6.39791206216914e+01 1.97125373529449e-05 1.97734551728546e-05 
6.68226370937666e+01 1.42013750575262e-05 1.44790173557080e-05 
6.96661535658418e+01 1.02998823845936e-05 1.06745345317707e-05 
7.25096700379169e+01 7.53644323967297e-06 7.90455731636029e-06 
7.53531865099921e+01 5.55681323452363e-06 5.88038969183213e-06 
7.81967029820673e+01 4.11646639702413e-06 4.39515439053201e-06 
8.10402194541425e+01 3.06244283046889e-06 3.30014591284794e-06 
8.38837359262176e+01 2.29094457043148e-06 2.48701534893893e-06 
8.67272523982928e+01 1.72331135261761e-06 1.88185769677006e-06 
8.95707688703680e+01 1.30437850261091e-06 1.42688651434745e-06 
9.24142853424432e+01 9.89889819719748e-07 1.08626024294628e-06 
9.52578018145183e+01 7.53632639328982e-07 8.29181415829992e-07 
9.81013182865935e+01 5.75385515045034e-07 6.35026167224889e-07 
1.00944834758669e+02 4.40697310140986e-07 4.87736853055702e-07 
1.03788351230744e+02 3.38551169453384e-07 3.75878399129362e-07 
1.06631867702819e+02 2.60940262432729e-07 2.90573807067786e-07 
1.09475384174894e+02 2.01728560226056e-07 2.25407401147913e-07 
1.12318900646969e+02 1.56460118511986e-07 1.75401546602571e-07 
1.15162417119045e+02 1.21715475961806e-07 1.36954514300042e-07 
1.18005933591120e+02 9.49905575419125e-08 1.07268277666253e-07 
1.20849450063195e+02 7.43565768116705e-08 8.42995295705267e-08 
1.23692966535270e+02 5.83899423848361e-08 6.64554545661561e-08 
1.26536483007345e+02 4.59898587058007e-08 5.25627161851686e-08 
1.29379999479420e+02 3.63378676188038e-08 4.17030421919580e-08 
1.32223515951496e+02 2.87986644646342e-08 3.31941740812269e-08 
1.35067032423571e+02 2.28967446889285e-08 2.65000166497105e-08 
1.37910548895646e+02 1.82616163817718e-08 2.12196755557998e-08 
1.40754065367721e+02 1.46140965587179e-08 1.70373198259612e-08 
1.43597581839796e+02 1.17356860626260e-08 1.37149696454533e-08 
1.46441098311871e+02 9.46069580737937e-09 1.10603455401956e-08 
1.49284614783947e+02 7.64776254424730e-09 8.93757187712984e-09 
1.52128131256022e+02 6.19464685208123e-09 7.23742452924814e-09 
1.54971647728097e+02 5.02811810557011e-09 5.87288586780366e-09 
1.57815164200172e+02 4.09008729761317e-09 4.77562423017122e-09 
1.60658680672247e+02 3.33397135416337e-09 3.89186942072674e-09 
1.63502197144323e+02 2.72346257611606e-09 3.17828349056560e-09 
1.66345713616398e+02 2.22935437729921e-09 2.60116286899083e-09 
1.69189230088473e+02 1.82877451726061e-09 2.13326239720577e-09 
1.72032746560548e+02 1.50326628547218e-09 1.75328906453186e-09 
1.74876263032623e+02 1.23830920690251e-09 1.44397840563926e-09 
1.77719779504698e+02 1.02214872237173e-09 1.19177378870431e-09 
1.80563295976774e+02 8.45495424329847e-10 9.85650560720473e-10 
1.83406812448849e+02 7.00804985043291e-10 8.16912502954795e-10 
1.86250328920924e+02 5.82088711013992e-10 6.78465300119448e-10 
1.89093845392999e+02 4.84467074842325e-10 5.64689013338317e-10 
1.91937361865074e+02 4.04049334976133e-10 4.70984751244118e-10 
1.94780878337149e+02 3.37654892757076e-10 3.93685945855904e-10 
1.97624394809225e+02 2.82738617769367e-10 3.29777440280081e-10 
2.00467911281300e+02 2.37214507949961e-10 2.76820415757993e-10 
2.03311427753375e+02 1.99383860494793e-10 2.32811502975507e-10 
2.06154944225450e+02 1.67875732990529e-10 1.96149170619994e-10 
2.08998460697525e+02 1.41596640101767e-10 1.65535201337798e-10 
2.11841977169600e+02 1.19641033112930e-10 1.39931111032055e-10 
2.14685493641676e+02 1.01273297573361e-10 1.18472628059943e-10 
2.17529010113751e+02 8.58826818600981e-11 1.00458025126866e-10 
2.20372526585826e+02 7.29714027680458e-11 8.52901611109711e-11 
2.23216043057901e+02 6.20885537013207e-11 7.25189230749130e-11 
2.26059559529976e+02 5.28994182040803e-11 6.17427807442130e-11 
2.28903076002052e+02 4.51293929640047e-11 5.26385881846368e-11 
2.31746592474127e+02 3.85518609239516e-11 4.49359128432521e-11 
2.34590108946202e+02 3.29759643394481e-11 3.84119768524600e-11 
2.37433625418277e+02 2.82437532831703e-11 3.28786089361295e-11 
2.40277141890352e+02 2.42219377199641e-11 2.81802073621041e-11 
2.43120658362427e+02 2.07999408558154e-11 2.41850897088801e-11 
2.45964174834503e+02 1.78842627309063e-11 2.07841933475307e-11 
2.48807691306578e+02 1.53971242887953e-11 1.78850294655348e-11 
2.51651207778653e+02 1.32725673984485e-11 1.54102543249577e-11 
2.54494724250728e+02 1.14551836841367e-11 1.32944668388800e-11 
2.57338240722803e+02 9.89859656055589e-12 1.14832338169054e-11 
