Energy(eV)           EEDF(eV^-(3/2))      Anisotropy(eV^-(3/2))
1.19199502795896e-02 7.08952144042874e-02 4.04472193449419e-05 
3.57598508387689e-02 7.08918957640137e-02 1.04238308693686e-04 
5.95997513979481e-02 7.08874216485875e-02 1.95257703079071e-04 
8.34396519571274e-02 7.08829930248841e-02 2.93380666292002e-04 
1.07279552516307e-01 7.08792482365915e-02 3.90984266147654e-04 
1.31119453075486e-01 7.08763628508366e-02 4.88973560572077e-04 
1.54959353634665e-01 7.08740555490070e-02 5.81713691777620e-04 
1.78799254193844e-01 7.08723448446147e-02 6.75161220225973e-04 
2.02639154753024e-01 7.08709679726465e-02 7.66975988975654e-04 
2.26479055312203e-01 7.08696965383079e-02 8.55531685798359e-04 
2.50318955871382e-01 7.08683741838130e-02 9.42319075599099e-04 
2.74158856430561e-01 7.08667410384164e-02 1.02503229775762e-03 
2.97998756989741e-01 7.08644847467807e-02 1.10224427519638e-03 
3.21838657548920e-01 7.08614678688647e-02 1.17716309422702e-03 
3.45678558108099e-01 7.08575121992609e-02 1.24932585931101e-03 
3.69518458667279e-01 7.08524968879374e-02 1.31930676378814e-03 
3.93358359226458e-01 7.08462514439406e-02 1.38666484161373e-03 
4.17198259785637e-01 7.08387023272665e-02 1.45170441786480e-03 
4.41038160344816e-01 7.08298133936709e-02 1.51456355601236e-03 
4.64878060903996e-01 7.08195136776715e-02 1.57516008902561e-03 
4.88717961463175e-01 7.08077366209042e-02 1.63352219266134e-03 
5.12557862022354e-01 7.07944207796941e-02 1.68965672072966e-03 
5.36397762581533e-01 7.07795393344252e-02 1.74366712285321e-03 
5.60237663140713e-01 7.07630401235887e-02 1.79556518212963e-03 
5.84077563699892e-01 7.07448747160259e-02 1.84539341233626e-03 
6.07917464259071e-01 7.07249983674543e-02 1.89319002308006e-03 
6.31757364818250e-01 7.07033699357421e-02 1.93899298213662e-03 
6.55597265377430e-01 7.06799517712241e-02 1.98284113121889e-03 
6.79437165936609e-01 7.06547096061761e-02 2.02477519831597e-03 
7.03277066495788e-01 7.06276124132444e-02 2.06483442039024e-03 
7.27116967054967e-01 7.05986405774089e-02 2.10306647332848e-03 
7.50956867614147e-01 7.05677742826076e-02 2.13951767700657e-03 
7.74796768173326e-01 7.05349918690440e-02 2.17423248837591e-03 
7.98636668732505e-01 7.05002744006807e-02 2.20725178941598e-03 
8.22476569291684e-01 7.04636056481425e-02 2.23861305287588e-03 
8.46316469850864e-01 7.04249720085131e-02 2.26835601483985e-03 
8.70156370410043e-01 7.03843623121682e-02 2.29652594518888e-03 
8.93996270969222e-01 7.03417676094115e-02 2.32316792506988e-03 
9.17836171528401e-01 7.02971811561893e-02 2.34832384551818e-03 
9.41676072087581e-01 7.02505983184731e-02 2.37203577896779e-03 
9.65515972646760e-01 7.02020164433871e-02 2.39434267215213e-03 
9.89355873205939e-01 7.01514348993814e-02 2.41527558982524e-03 
1.01319577376512e+00 7.00988712817610e-02 2.43482915838569e-03 
1.03703567432430e+00 7.00446181740421e-02 2.45308630709531e-03 
1.06087557488348e+00 6.99886852163216e-02 2.47006415087327e-03 
1.08471547544266e+00 6.99310833402369e-02 2.48579469106928e-03 
1.10855537600184e+00 6.98718246997747e-02 2.50031298920123e-03 
1.13239527656101e+00 6.98109224593730e-02 2.51365729298103e-03 
1.15623517712019e+00 6.97483907025217e-02 2.52586257596062e-03 
1.18007507767937e+00 6.96842445271869e-02 2.53699500880505e-03 
1.20391497823855e+00 6.96184982066445e-02 2.54717514072334e-03 
1.22775487879773e+00 6.95510373811237e-02 2.55647611594919e-03 
1.25159477935691e+00 6.94818098334745e-02 2.56491460873872e-03 
1.27543467991609e+00 6.94108287050848e-02 2.57249848087870e-03 
1.29927458047527e+00 6.93381083996123e-02 2.57923880051811e-03 
1.32311448103445e+00 6.92637550709028e-02 2.58516103970201e-03 
1.34695438159363e+00 6.91878878407531e-02 2.59029620188570e-03 
1.37079428215281e+00 6.91105240613018e-02 2.59466140731156e-03 
1.39463418271199e+00 6.90316819808721e-02 2.59827921184606e-03 
1.41847408327117e+00 6.89513799885060e-02 2.60118737198389e-03 
1.44231398383035e+00 6.88696363280151e-02 2.60341487226444e-03 
1.46615388438952e+00 6.87864697814541e-02 2.60500541288737e-03 
1.48999378494870e+00 6.87018979167058e-02 2.60603531448355e-03 
1.51383368550788e+00 6.86159678124736e-02 2.60653263967262e-03 
1.53767358606706e+00 6.85290555182640e-02 2.60650742117024e-03 
1.56151348662624e+00 6.84411777820722e-02 2.60597930542209e-03 
1.58535338718542e+00 6.83523519935510e-02 2.60494696915139e-03 
1.60919328774460e+00 6.82625961197038e-02 2.60341103568914e-03 
1.63303318830378e+00 6.81719286382450e-02 2.60137397261585e-03 
1.65687308886296e+00 6.80803684731843e-02 2.59883991349363e-03 
1.68071298942214e+00 6.79879349339118e-02 2.59581450916239e-03 
1.70455288998132e+00 6.78946476551924e-02 2.59230476367672e-03 
1.72839279054050e+00 6.78005265424375e-02 2.58831889881500e-03 
1.75223269109968e+00 6.77055917165360e-02 2.58386616015715e-03 
1.77607259165885e+00 6.76098634688825e-02 2.57895655599535e-03 
1.79991249221803e+00 6.75133622218404e-02 2.57360082891893e-03 
1.82375239277721e+00 6.74161084830576e-02 2.56781045005597e-03 
1.84759229333639e+00 6.73181228036219e-02 2.56159762638893e-03 
1.87143219389557e+00 6.72194257290903e-02 2.55497529629578e-03 
1.89527209445475e+00 6.71200377552387e-02 2.54796665981713e-03 
1.91911199501393e+00 6.70198348152620e-02 2.54061315476554e-03 
1.94295189557311e+00 6.69185045354916e-02 2.53292576919863e-03 
1.96679179613229e+00 6.68160699813624e-02 2.52488381008487e-03 
1.99063169669147e+00 6.67125542566502e-02 2.51650116261698e-03 
2.01447159725065e+00 6.66079804718953e-02 2.50779172952438e-03 
2.03831149780983e+00 6.65023717122041e-02 2.49876942336040e-03 
2.06215139836901e+00 6.63957510062294e-02 2.48944814528675e-03 
2.08599129892819e+00 6.62881412957423e-02 2.47984176266825e-03 
2.10983119948736e+00 6.61795654066300e-02 2.46993238759317e-03 
2.13367110004654e+00 6.60704701507587e-02 2.45971117445338e-03 
2.15751100060572e+00 6.59609152267092e-02 2.44923965212786e-03 
2.18135090116490e+00 6.58509191220153e-02 2.43853506596220e-03 
2.20519080172408e+00 6.57405000778752e-02 2.42762565804375e-03 
2.22903070228326e+00 6.56294573528491e-02 2.41654100591545e-03 
2.25287060284244e+00 6.55177248852544e-02 2.40527107571823e-03 
2.27671050340162e+00 6.54053226983056e-02 2.39381802651586e-03 
2.30055040396080e+00 6.52922704908537e-02 2.38219482560392e-03 
2.32439030451998e+00 6.51785875996882e-02 2.37041444782531e-03 
2.34823020507916e+00 6.50642929847877e-02 2.35848928863769e-03 
2.37207010563834e+00 6.49494052486189e-02 2.34643104642813e-03 
2.39591000619752e+00 6.48339426358290e-02 2.33424691200295e-03 
2.41974990675669e+00 6.47179234338996e-02 2.32193914258630e-03 
2.44358980731587e+00 6.46013660379829e-02 2.30951371150908e-03 
2.46742970787505e+00 6.44842885011334e-02 2.29697678309902e-03 
